sid,ego_speed,other_speed,other_distance,timeout,loss,min_ttc,collision,summary_log
1770674013.942-9474,31.63308397206906,29.688631485187955,13.302826581836047,90.0,1.7816520819308987,1.7816520819308987,0,
1770674129.277-622,24.748555640620044,21.96610526105463,6.590527329271769,90.0,14.419006210730105,14.419006210730105,0,
1770674245.168-7313,31.35963755874652,29.465586036420408,13.682474165482331,90.0,2.1902408764212296,2.1902408764212296,0,
1770674361.143-3825,31.845539555553973,29.35539897133865,13.392912823241183,90.0,1.9460591958886337,1.9460591958886337,0,
1770674477.286-4321,31.845539555553973,29.35539897133865,13.392912823241183,90.0,1.8245590786522599,1.8245590786522599,0,
1770674593.474-5291,43.5656069087526,36.850552852285134,11.308089595783205,90.0,1.9902229370493127,1.9902229370493127,0,
1770674709.435-2786,28.603946549992045,13.543788682224296,10.1187989564805,90.0,2.9671125570474284,2.9671125570474284,0,
1770674826.330-1411,42.24561029133616,24.629176169500298,11.569346144550007,90.0,2.149764425015349,2.149764425015349,0,
1770674943.238-7134,43.5656069087526,36.850552852285134,11.308089595783205,90.0,2.7780843367802985,2.7780843367802985,0,
1770675060.120-1380,26.969577782210227,14.033481335244712,19.315896185974037,90.0,2.8830893948402787,2.8830893948402787,0,
1770675177.082-8057,37.77971902768657,33.32440376825192,6.636322128293755,90.0,14.383772849001017,14.383772849001017,0,
1770675294.492-6245,36.45464914423042,20.427201380702265,14.210467266221627,90.0,2.5214471014858963,2.5214471014858963,0,
1770675411.107-1886,36.45464914423042,20.427201380702265,14.210467266221627,90.0,2.4763921270343343,2.4763921270343343,0,
1770675527.915-9682,17.7968624516849,27.445094438302213,6.158439742176152,90.0,1000000.0,,0,
1770675527.915-1498,36.44507141582449,20.501910845779204,14.212641793145275,90.0,2.4123684992766523,2.4123684992766523,0,
1770675645.014-8287,26.974043860273447,14.026585737728222,19.322089810507364,90.0,2.7641009762029367,2.7641009762029367,0,
1770675762.482-7250,36.44507141582449,20.501910845779204,14.212641793145275,90.0,0.5381758005967849,0.5381758005967849,0,
1770675879.513-3741,29.841217083631445,43.832317569745655,2.3835863017096948,90.0,1000000.0,,0,
1770675879.513-8531,36.52066121912687,20.267700025377433,14.00638551905447,90.0,2.3670324758425387,2.3670324758425387,0,
1770675996.058-7767,36.6147106309628,20.47428101969223,14.37501453798827,90.0,2.387560389265106,2.387560389265106,0,
1770676112.682-1753,36.52066121912687,20.267700025377433,14.00638551905447,90.0,2.4226915098208783,2.4226915098208783,0,
1770676229.290-3883,37.81591608180009,32.048654724343386,19.553522846009965,90.0,1.5382629371184104,1.5382629371184104,0,
1770676344.779-3756,36.590611420473806,20.28562214010066,13.752108587137961,90.0,2.340558535016229,2.340558535016229,0,
1770676461.369-6916,36.56600221914997,20.407295715264926,14.010992901259154,90.0,2.393385895845916,2.393385895845916,0,
1770676578.032-8051,37.81591608180009,32.048654724343386,19.553522846009965,90.0,2.603055788213921,2.603055788213921,0,
1770676694.007-6228,37.62848430244371,33.39569370998804,18.178091929895118,90.0,2.5993570454698403,2.5993570454698403,0,
1770676809.961-7765,42.10317359129438,48.613186514825074,11.192799485618197,90.0,1000000.0,,0,
1770676809.961-2800,15.854273162119705,31.466525386294173,3.2669002278457384,90.0,1000000.0,,0,
1770676809.962-9080,37.62848430244371,33.39569370998804,18.178091929895118,90.0,1.9173113440739133,1.9173113440739133,0,
1770676926.805-1282,23.213949073542842,29.539683272594907,12.000988449603451,90.0,1000000.0,,0,
1770676926.805-7455,37.6878362861512,33.44091596216213,18.151203156277543,90.0,2.552947533915805,2.552947533915805,0,
1770677044.228-7601,37.62864149935492,33.395720765192536,18.178283065762876,90.0,1.8499834360291199,1.8499834360291199,0,
1770677160.318-1930,37.62864149935492,33.395720765192536,18.178283065762876,90.0,2.427527665811601,2.427527665811601,0,
1770677276.276-5004,41.6865557238676,47.5619801707962,14.816806572877084,90.0,1000000.0,,0,
1770677276.276-5681,10.22789119207616,33.80645645703939,15.0221437225195,90.0,1000000.0,,0,
1770677276.276-448,30.308090113873554,33.85613920201899,2.102180031663274,90.0,1000000.0,,0,
1770677276.277-3085,41.6865557238676,47.5619801707962,14.816806572877084,90.0,1000000.0,,0,
1770677276.278-407,39.03768781728995,32.842694653262484,18.404192817173904,90.0,2.623409975086338,2.623409975086338,0,
1770677392.074-7095,23.851495697529064,26.040832417104973,6.706876179003007,90.0,1000000.0,,0,
1770677392.074-4009,16.60460372199781,14.754288256699738,8.624046823275117,90.0,18.51828507181182,18.51828507181182,0,
1770677508.398-3263,39.03768781728995,32.842694653262484,18.404192817173904,90.0,2.5431786819623277,2.5431786819623277,0,
1770677624.502-7839,46.89124611649186,12.793368402325068,14.3942519385925,90.0,2.9115704146862265,2.9115704146862265,0,
1770677741.881-6867,10.371055424877724,12.21547298129503,11.521977010912462,90.0,1000000.0,,0,
1770677741.881-1883,42.62297962985269,20.09426225124126,17.11291019305073,90.0,2.406776665175663,2.406776665175663,0,
1770677858.157-7010,42.62297962985269,20.09426225124126,17.11291019305073,90.0,2.4463781121656525,2.4463781121656525,0,
1770677973.981-5389,33.38377697258623,20.32730225332172,4.164218819862782,90.0,10.299970412067061,10.299970412067061,0,
1770678090.894-5393,42.52621123196117,48.81685963620851,14.248284104167011,90.0,1000000.0,,0,
1770678090.894-217,16.939970320387395,13.136112342447749,12.72390237099195,90.0,0.5831044915992608,0.5831044915992608,0,
1770678206.511-8128,16.939970320387395,13.136112342447749,12.72390237099195,90.0,3.05023480952042,3.05023480952042,0,
1770678323.990-7080,32.84580840288236,21.476048172637384,15.834140693012529,90.0,2.319762110938685,2.319762110938685,0,
1770678440.458-1659,17.220757587651182,13.249742085633574,12.80373678444732,90.0,3.056738993024901,3.056738993024901,0,
