sid,ego_speed,other_speed,other_distance,timeout,min_ttc,collision,loss
1770744522.365-6242,38.87278310038559,26.661659245249293,12.336950498306201,90.0,,0,1000000.0
1770744676.625-1102,44.366347485506964,27.49051669881398,8.519165410422612,90.0,,0,1000000.0
1770744827.106-7305,43.277980081471505,28.76083775850548,17.456028690168104,90.0,,0,1000000.0
1770744977.611-9385,44.366347485506964,27.49051669881398,8.519165410422612,90.0,,0,1000000.0
1770745127.829-4477,43.277980081471505,28.76083775850548,17.456028690168104,90.0,2.606583300370883,0,2.606583300370883
1770745272.374-2742,44.480391654682506,27.25300975439698,8.55473090817752,90.0,18.51828314989479,0,18.51828314989479
1770745424.172-1121,44.480391654682506,27.25300975439698,8.55473090817752,90.0,,0,1000000.0
1770745576.709-2810,43.527897716286375,28.921715527058698,19.489469650500396,90.0,,0,1000000.0
1770745727.159-5338,43.527897716286375,28.921715527058698,19.489469650500396,90.0,,0,1000000.0
1770745873.532-2287,44.802053814994835,42.09767613740642,10.05952985912194,90.0,,0,1000000.0
1770746018.946-5673,40.618938955001596,37.070518147404464,8.674838069216888,90.0,,0,1000000.0
1770746165.032-8005,37.693587707546826,15.833445198598785,16.01411250201375,90.0,,0,1000000.0
1770746315.436-2855,40.618938955001596,37.070518147404464,8.674838069216888,90.0,,0,1000000.0
1770746461.410-2182,37.693587707546826,15.833445198598785,16.01411250201375,90.0,,0,1000000.0
1770746611.036-1790,52.296774774211556,31.67544988908112,10.345821820515173,90.0,2.7179884666799854,0,2.7179884666799854
1770746758.548-5652,52.296774774211556,31.67544988908112,10.345821820515173,90.0,,0,1000000.0
1770746908.911-6956,52.20260423475477,31.997609454672766,9.99103314821917,90.0,,0,1000000.0
